Aidani / Aidini / Aedani,White
Airén,White
Alarije / Alarijen,White
Albalonga,White
Albana,White
Albanello Bianco,White
Albaranzeuli Bianco,White
Albarello,White
Albariño / Alvarinho / Cainho Branco,White
Albarola,White
Albillo,White
Alcañón,White
Aligoté,White
Altesse / Roussette,White
Amigne,White
Ansonica / Inzolia,White
Antao Vaz,White
Aragnan Blanc,White
Arbois,White
Arinto,White
Arneis,White
Arnsburger,White
Arrufiac / Arrufiat / Ruffiac,White
Arvine,White
Asprinio Bianco,White
Assario branco,White
Assyrtiko / Assyrtico,White
Athiri,White
Aubin,White
Auxerrois Blanc,White
Avesso,White
Azal,White
Barcelo,White
Bacchus,White
Baco Blanc,White
Baiyu / Rkatsiteli,White
Banat Riesling / Banat Rizling,White
Baroque,White
Belina,White
Benedino,White
Biancame / Bianchello,White
Bianchetta Trevigiana,White
Bianchetti Genovese,White
Bianco d'Alessano,White
Biancolella,White
Biancone,White
Bical,White
Blanc de Morgex,White
Bratislavské biele,White
Boais,White
Bogdanuša,White
Bombino Bianco,White
Borba Blanca,White
Borrado das Moscas,White
Bosco,White
Bourboulenc,White
Bouvier,White
Breidecker,White
Bual,White
Budai Zöld,White
Bukettraube,White
Buonamico,White
Burger / Monbadon,White
Camaralet,White
Carica l'Asino,White
Carignan blanc,White
Catarratto,White
Cayetana / Calagraño,White
Cerceal,White
Cereza,White
Chardonnay,White
Chasan,White
Chasselas / Fendant / Gutedel,White
Chenel,White
Chenin Blanc / Pineau de la Loire / Steen,White
Clairette,White
Claret de Gers / Claret de Gascogne,White
Claverie,White
Cococciola,White
Cocur,White
Coda di Volpe,White
Codega / Roupeiro,White
Colombard,White
Completer,White
Cortese,White
Crato / Crato Bianco,White
Courbu / Xuri Zerratua / Bordelesa Zuri,White
Criolla Grande,White
Crouchen / Clare Riesling / Cape Riesling,White
Cygne blanc,White
Cserszegi Fűszeres,White
Dattier,White
Debina,White
Debit,White
Diagalves,White
Dimiat,White
Dinka,White
Dona blanca,White
Doradillo,White
Drupeggio,White
Durella,White
Ehrenfelser,White
Elbling,White
Emerald Riesling,White
Emir Karasi,White
Encruzado,White
Erbaluce,White
Esgana Cão / Esagna / Sercial,White
Esquitxagos,White
Ezerjó,White
Faber / Faberrebe,White
Favorita,White
Falanghina,White
False Pedro / Pedro Luis / Cañocazo,White
Favorita,White
Fernao Pires / Fernão Pires,White
Ferral,White
Fetească Albă / Fetiaska / Leànyka,White
Fetească Regală,White
Fiano,White
Fié / Fiét / Fié gris,White
Findling,White
Flora,White
Fologosão,White
Folle Blanche / Gros Plant / Piquepoult,White
Francavida,White
Francusa,White
Freisamer / Freiburger,White
Friulano / Tocai Friulano,White
Fromenteau,White
Frontignan,White
Furmint / Mosler / Sipon,White
Galego Dourado,White
Garganega,White
Garnacha blanca / Grenache Blanc,White
Garrido,White
Gellewza,White
Gewürztraminer / Tramini,White
Gloria,White
Godello,White
Goldburger,White
Goldriesling,White
Gouais blanc,White
Gouveio,White
Graisse / Plant de Graisse,White
Grasă de Cotnari,White
Grecanico,White
Grechetto,White
Greco,White
Greco Bianco,White
Green Hungarian,White
Grenache Blanc / Garnacha blanca,White
Grenache Gris,White
Grignolino,White
Grillo,White
Grasa,White
Grk Bijeli,White
Grolleau gris,White
Gros Manseng / Izkiriota Handi,White
Grüner Veltliner,White
Guardavalle,White
Guarnaccia Bianca,White
Gutenborner,White
Hárslevelű,White
Hondarrabi Zuri,White
Humagne Blanche,White
Huxelrebe / Weisser Gutedel / Courtillier Musqué,White
Incrocio Manzoni,White
Inzolia / Ansonica,White
